ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
52,20pF,"C45,C57",C0402,2,0402CG200J500NT,FH(风华),LCSC,C1554,0.008
53,22uF,C56,CASE-A_3216,1,TAJA226M010RNJ,Kyocera AVX,LCSC,C7183,0.275
54,22Ω,"R8,R9,R10,R74",R0402,4,0402WGF220JTCE,UNI-ROYAL(厚声),LCSC,C25092,0.003
55,49.9Ω,"R11,R65,R66,R67,R68,R69,R70,R71,R72",R0402,9,RC-02K49R9FT,FH(风华),LCSC,C140147,0.002
56,10kΩ,"R73,R75,R77,R2,R15,R16,R17,R18,R19,R20,R21,R22,R7,R28,R29",R0402,15,0402WGF1002TCE,UNI-ROYAL(厚声),LCSC,C25744,0.003
57,1kΩ,"R76,R5,R31",R0402,3,0402WGF1001TCE,UNI-ROYAL(厚声),LCSC,C11702,0.004
58,OPA320AIDBVR,"U2,U3",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,2,OPA320AIDBVR,TI(德州仪器),LCSC,C92494,1.371
59,TCA9548APWR,U33,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,1,TCA9548APWR,TI(德州仪器),LCSC,C130026,0.866
60,ADS1256IDBR,U35,SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,1,ADS1256IDBR,TI(德州仪器),LCSC,C28186,6.503
61,ADR03AKSZ-REEL7,U38,SC-70-5_L2.0-W1.3-P0.65-LS2.1-BL,1,ADR03AKSZ-REEL7,ADI(亚德诺),LCSC,C206683,4.908
62,8MHz,U39,CRYSTAL-SMD_4P-L3.2-W2.5-BL-1,1,3TJ480000NYLBC,JYJE(晶友嘉),LCSC,C2924618,0.221
63,SHT40-AD1B-R2,U44,DFN-4_L1.5-W1.5-P0.8,1,SHT40-AD1B-R2,Sensirion(瑞士盛思锐),LCSC,C2909890,
64,E22-900MM22S,U45,WIRELM-SMD_20P-L10.0-W10.0-P1.27-TL,1,E22-900MM22S,EBYTE(亿佰特),LCSC,C5333985,
65,ESP32-S3-WROOM-1U-N16R8,U49,WIRELM-SMD_ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U-N16R8,ESPRESSIF(乐鑫),LCSC,C3013946,5.033
66,PCF8574T/TR,U12,SO-16_L10.3-W7.5-P1.27-LS10.3-BL,1,PCF8574T/TR,HGSEMI(华冠),LCSC,C2987288,0.65
67,16kΩ,R13,R0402,1,0402WGF1602TCE,UNI-ROYAL(厚声),LCSC,C25759,0.014
68,4.99kΩ,R14,R0402,1,RC0402FR-074K99L,YAGEO(国巨),LCSC,C137965,0.002
69,TPS2116DRLR,U13,SOT-583-8_L2.1-W1.6-P0.50-LS1.6-BL,1,TPS2116DRLR,TI(德州仪器),LCSC,C3235557,0.459
70,TPS22964CYZPR,U14,DSBGA-6_L1.4-W0.9-P0.50-BL,1,TPS22964CYZPR,TI(德州仪器),LCSC,C431579,0.494
71,SN74LVC1G06DCKR,U15,SOT-353_L2.2-W1.4-P0.65-LS2.4-BR,1,SN74LVC1G06DCKR,TI(德州仪器),LCSC,C7828,0.168
72,TPS3839K33DBZR,U16,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,TPS3839K33DBZR,TI(德州仪器),LCSC,C96333,0.793
73,22uF,C9,C0805,1,C2012X5R1V226MT000E,TDK,LCSC,C338080,0.339
74,100kΩ,"R23,R24,R25,R1,R26,R27,R4,R30,R12,R40,R41,R43",R0402,12,0402WGF1003TCE,UNI-ROYAL(厚声),LCSC,C25741,0.003
75,200kΩ,R32,R0402,1,0402WGF2003TCE,UNI-ROYAL(厚声),LCSC,C25764,0.002
76,22uF,"C39,C40,C62,C63,C64,C67,C68,C5",C0402,8,JDK105CBJ226MV-F,TAIYO YUDEN(太诱),LCSC,C385994,0.154
77,1uF,C71,C0402,1,CL05A105KA5NQNC,SAMSUNG(三星),LCSC,C52923,0.012
78,0Ω,"R33,R37,R38,R39",R0402,4,0402WGF0000TCE,UNI-ROYAL(厚声),LCSC,C17168,0.003
79,2.2uF,C74,C0402,1,CL05A225MQ5NSNC,SAMSUNG(三星),LCSC,C12530,0.006
80,47nF,"C75,C76",C0402,2,0402B473K500NT,FH(风华),LCSC,C82219,0.008
81,255kΩ,R34,R0402,1,AC0402DR-07255KL,YAGEO(国巨),LCSC,C226702,0.003
82,43kΩ,R35,R0603,1,0603WAF4302T5E,UNI-ROYAL(厚声),LCSC,C23172,0.002
83,4.7nF,C77,C0402,1,0402B472K500NT,FH(风华),LCSC,C1538,0.005
84,SS14,"D8,D9",SMA_L4.2-W2.6-LS5.0-RD_1,2,SS14,MDD(辰达半导体),LCSC,C2480,0.019
85,ALARM,J2,HDR-M-2.54_1X2,1,,,LCSC,C124375,0.03
86,AO3400A,"Q4,Q5",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2,AO3400A,AOS,LCSC,C20917,0.085
87,100Ω,"R94,R42",R0402,2,0402WGF1000TCE,UNI-ROYAL(厚声),LCSC,C25076,0.004
88,X1321WVS-2X04J-C40D53,"H2,H1,H3,H4,H5,H6,H7,H8",HDR-SMD_8P-P1.27-V-M-C2-C4-LS5.3,8,X1321WVS-2x04J-C40D53,XKB Connection(中国星坤),LCSC,C2881909,0.231
89,60Ω,L6,L0402,1,GZ1005D600TF,Sunlord(顺络),LCSC,C23478,
